CustomerID      Country
        Bahrain
12346   United Kingdom
12347   Iceland
12348   Finland
12349   Italy
12350   Norway
12352   Norway
12353   Bahrain
12354   Spain
12355   Bahrain
12356   Portugal
12357   Switzerland
12358   Austria
12359   Cyprus
12360   Austria
12361   Belgium
12362   Belgium
12363   Unspecified
12364   Belgium
12365   Cyprus
12367   Denmark
12370   Austria
12371   Switzerland
12372   Denmark
12373   Austria
12374   Austria
12375   Finland
12377   Switzerland
12378   Switzerland
12379   Belgium
12380   Belgium
12381   Norway
12383   Belgium
12384   Switzerland
12386   Australia
12388   Australia
12390   Belgium
12391   Cyprus
12393   Australia
12394   Belgium
12395   Belgium
12397   Belgium
12398   Switzerland
12399   Belgium
12401   Belgium
12402   Belgium
12403   Denmark
12405   Finland
12406   Denmark
12407   Belgium
12408   Belgium
12409   Switzerland
12410   Switzerland
12412   Denmark
12413   France
12414   Austria
12415   Australia
12417   Belgium
12418   Switzerland
12420   Cyprus
12421   Spain
12422   Australia
12423   Belgium
12424   Australia
12425   Portugal
12426   Germany
12427   Germany
12428   Finland
